Datum;Index_Mai_2000
01.05.2000;100
01.06.2000;100.4
01.07.2000;100.4
01.08.2000;100.2
01.09.2000;100.7
01.10.2000;100.6
01.11.2000;101.1
01.12.2000;101
01.01.2001;100.9
01.02.2001;100.8
01.03.2001;100.9
01.04.2001;101.2
01.05.2001;101.8
01.06.2001;102
01.07.2001;101.8
01.08.2001;101.2
01.09.2001;101.4
01.10.2001;101.2
01.11.2001;101.4
01.12.2001;101.3
01.01.2002;101.4
01.02.2002;101.4
01.03.2002;101.5
01.04.2002;102.3
01.05.2002;102.4
01.06.2002;102.3
01.07.2002;101.8
01.08.2002;101.7
01.09.2002;101.9
01.10.2002;102.5
01.11.2002;102.3
01.12.2002;102.2
01.01.2003;102.3
01.02.2003;102.4
01.03.2003;102.8
01.04.2003;103
01.05.2003;102.8
01.06.2003;102.9
01.07.2003;102
01.08.2003;102.3
01.09.2003;102.4
01.10.2003;102.9
01.11.2003;102.8
01.12.2003;102.8
01.01.2004;102.5
01.02.2004;102.5
01.03.2004;102.7
01.04.2004;103.6
01.05.2004;103.8
01.06.2004;104
01.07.2004;102.9
01.08.2004;103.3
01.09.2004;103.3
01.10.2004;104.3
01.11.2004;104.4
01.12.2004;104.2
01.01.2005;103.7
01.02.2005;103.9
01.03.2005;104.2
01.04.2005;105
01.05.2005;104.9
01.06.2005;104.7
01.07.2005;104.1
01.08.2005;104.3
01.09.2005;104.7
01.10.2005;105.7
01.11.2005;105.4
01.12.2005;105.2
01.01.2006;105
01.02.2006;105.4
01.03.2006;105.3
01.04.2006;106.2
01.05.2006;106.4
01.06.2006;106.3
01.07.2006;105.6
01.08.2006;105.8
01.09.2006;105.6
01.10.2006;105.9
01.11.2006;105.9
01.12.2006;105.9
01.01.2007;105.2
01.02.2007;105.4
01.03.2007;105.4
01.04.2007;106.6
01.05.2007;106.9
01.06.2007;107
01.07.2007;106.4
01.08.2007;106.3
01.09.2007;106.4
01.10.2007;107.3
01.11.2007;107.8
01.12.2007;108
01.01.2008;107.7
01.02.2008;107.9
01.03.2008;108.2
01.04.2008;109.1
01.05.2008;109.9
01.06.2008;110.1
01.07.2008;109.6
01.08.2008;109.4
01.09.2008;109.5
01.10.2008;110.1
01.11.2008;109.3
01.12.2008;108.8
01.01.2009;107.9
01.02.2009;108.1
01.03.2009;107.8
01.04.2009;108.7
01.05.2009;108.9
01.06.2009;109.1
01.07.2009;108.4
01.08.2009;108.5
01.09.2009;108.5
01.10.2009;109.1
01.11.2009;109.3
01.12.2009;109.1
01.01.2010;109
01.02.2010;109.1
01.03.2010;109.3
01.04.2010;110.2
01.05.2010;110.1
01.06.2010;109.6
01.07.2010;108.8
01.08.2010;108.8
01.09.2010;108.8
01.10.2010;109.3
01.11.2010;109.6
01.12.2010;109.6
01.01.2011;109.3
01.02.2011;109.7
01.03.2011;110.4
01.04.2011;110.5
01.05.2011;110.5
01.06.2011;110.2
01.07.2011;109.3
01.08.2011;109
01.09.2011;109.3
01.10.2011;109.2
01.11.2011;109
01.12.2011;108.9
01.01.2012;108.4
01.02.2012;108.7
01.03.2012;109.3
01.04.2012;109.4
01.05.2012;109.4
01.06.2012;109.1
01.07.2012;108.5
01.08.2012;108.5
01.09.2012;108.8
01.10.2012;109
01.11.2012;108.6
01.12.2012;108.4
01.01.2013;108.1
01.02.2013;108.4
01.03.2013;108.7
01.04.2013;108.7
01.05.2013;108.8
01.06.2013;108.9
01.07.2013;108.5
01.08.2013;108.5
01.09.2013;108.8
01.10.2013;108.7
01.11.2013;108.7
01.12.2013;108.5
01.01.2014;108.2
01.02.2014;108.3
01.03.2014;108.7
01.04.2014;108.7
01.05.2014;109.1
01.06.2014;109
01.07.2014;108.6
01.08.2014;108.5
01.09.2014;108.7
01.10.2014;108.7
01.11.2014;108.6
01.12.2014;108.1
01.01.2015;107.6
01.02.2015;107.4
01.03.2015;107.7
01.04.2015;107.5
01.05.2015;107.8
01.06.2015;107.8
01.07.2015;107.2
01.08.2015;107
01.09.2015;107.1
01.10.2015;107.2
01.11.2015;107.1
01.12.2015;106.7
01.01.2016;106.3
01.02.2016;106.5
01.03.2016;106.8
01.04.2016;107.1
01.05.2016;107.3
01.06.2016;107.4
01.07.2016;107
01.08.2016;106.9
01.09.2016;106.9
01.10.2016;107
01.11.2016;106.8
01.12.2016;106.7
01.01.2017;106.6
01.02.2017;107.2
01.03.2017;107.4
01.04.2017;107.6
01.05.2017;107.8
01.06.2017;107.7
01.07.2017;107.3
01.08.2017;107.4
01.09.2017;107.6
01.10.2017;107.7
01.11.2017;107.6
01.12.2017;107.6
01.01.2018;107.4
01.02.2018;107.8
01.03.2018;108.2
01.04.2018;108.5
01.05.2018;108.9
01.06.2018;108.9
01.07.2018;108.6
01.08.2018;108.6
01.09.2018;108.7
01.10.2018;108.9
01.11.2018;108.6
01.12.2018;108.3
01.01.2019;108
01.02.2019;108.5
01.03.2019;109
01.04.2019;109.2
01.05.2019;109.6
01.06.2019;109.5
01.07.2019;109
01.08.2019;109
01.09.2019;108.9
01.10.2019;108.6
01.11.2019;108.5
01.12.2019;108.5
01.01.2020;108.3
01.02.2020;108.4
01.03.2020;108.5
01.04.2020;108.1
01.05.2020;108.1
01.06.2020;108.1
01.07.2020;108
01.08.2020;108
01.09.2020;108
01.10.2020;108
01.11.2020;107.7
01.12.2020;107.6
01.01.2021;107.7
01.02.2021;107.8
01.03.2021;108.2
01.04.2021;108.4
01.05.2021;108.7
01.06.2021;108.8
01.07.2021;108.7
01.08.2021;109
01.09.2021;109
01.10.2021;109.3
01.11.2021;109.4
01.12.2021;109.3
01.01.2022;109.4
01.02.2022;110.2
01.03.2022;110.8
01.04.2022;111.2
01.05.2022;111.9
01.06.2022;112.5
01.07.2022;112.4
01.08.2022;112.7
01.09.2022;112.5
01.10.2022;112.6
01.11.2022;112.6
01.12.2022;112.4
01.01.2023;113
